Empurrador,Saída,Horas,Prev. Chegada
24 Jean Filho XXIV,07/09/2024 11:00,148,15/09/2024 09:00:00
34 Jean Filho XXXIV,08/09/2024 05:25,129,15/09/2024 22:00:00
29 Jean Filho XXIX,11/09/2024 12:00,51,17/09/2024 12:00:00
Empurrador,Saída,Horas,Prev. Chegada
61 Jean Filho LXI,07/09/2024 04:20,154,14/09/2024 04:20:00
63 Jean Filho LXIII,06/09/2024 05:00,178,14/09/2024 06:00:00
64 Jean Filho LXIV,08/09/2024 05:00,130,14/09/2024 06:00:00
CAP. JOSE GUILHERME I,07/09/2024 03:46,155,15/09/2024 10:00:00
62 Jean Filho LXII,10/09/2024 03:23,83,17/09/2024 03:23:00
57 Jean Filho LVII,10/09/2024 05:00,82,17/09/2024 05:00:00
56 Jean Filho LVI,11/09/2024 01:22,61,18/09/2024 01:22:00
32 Jean Filho XXXII,11/09/2024 04:53,58,18/09/2024 04:53:00
65 Jean Filho LXV,13/09/2024 04:24,10,20/09/2024 04:24:00
Empurrador,Saída,Horas,Prev. Chegada
36 Jean Filho XXXVI,04/09/2024 23:00,208,14/09/2024 23:00:00
13 Jean Filho XIII,05/09/2024 18:25,188,15/09/2024 18:25:00
22 Jean Filho XXII,07/09/2024 06:15,152,17/09/2024 06:15:00
CAP II - Cap. Jose Guilherme II,09/09/2024 22:00,89,19/09/2024 22:00:00
39 Jean Filho XXXIX,12/09/2024 18:00,21,22/09/2024 18:00:00
Empurrador,Saída,Horas,Prev. Chegada
58 Jean Filho LVIII,10/09/2024 08:00,79,14/09/2024 22:00:00
60 Jean Filho LX,10/09/2024 10:00,77,15/09/2024 00:00:00
MM Manoel Messias,11/09/2024 08:30,54,15/09/2024 22:30:00
53 Jean Filho LIII,11/09/2024 20:00,43,16/09/2024 10:00:00
50 Jean Filho L,12/09/2024 23:00,16,17/09/2024 13:00:00
Empurrador,Saída,Horas,Prev. Chegada
33 Jean Filho XXXIII,16/04/2024 15:00,3600,16/04/2024 16:00:00
C4 Chibatao IV,15/05/2024 14:36,2904,15/05/2024 15:36:00
43 Jean Filho XLIII,16/08/2024 13:00,674,16/08/2024 14:00:00
51 Jean Filho LI,05/09/2024 10:00,197,05/09/2024 11:00:00
CAP III - Cap. Jose Guilherme III,09/09/2024 12:00,99,09/09/2024 13:00:00
37 Jean Filho XXXVII,09/09/2024 14:00,97,09/09/2024 15:00:00
